"Title1","Title2","Authors1","Authors2","Keywords1","Keywords2","Similarity","Label"
"transparency and explainability of ai systems: ethical guidelines in practice","artificial intelligence, intersectionality, and the future of public health","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","bauer gr,lizotte dj","ai systems,ethical guidelines,explainability,quality requirements,transparency","ajph,apha,american,association,health,journal,public,ethics,infrastructure,policy,practice","0.25905982905983","0"
"transparency and explainability of ai systems: ethical guidelines in practice","fairness & friends in the data science era","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","catania b,guerrini g,accinelli c","ai systems,ethical guidelines,explainability,quality requirements,transparency","data-informed automated decision system,diversity,fairness,nondiscrimination,processing pipeline","0.24611645299145","0"
"transparency and explainability of ai systems: ethical guidelines in practice","a sociotechnical view of algorithmic fairness","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","dolata m,feuerriegel s,schwabe g","ai systems,ethical guidelines,explainability,quality requirements,transparency","algorithmic fairness,literature review,problematization,research agenda,sociotechnical perspective,state of the art","0.23110367892976","0"
"transparency and explainability of ai systems: ethical guidelines in practice","ai-enabled radio resource allocation in 5g for urllc and embb users","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","elsayed m,erol-kantarci m","ai systems,ethical guidelines,explainability,quality requirements,transparency","5g mobile communication,delays,quality of service,reliability,resource management,throughput","0.23328874024526","0"
"transparency and explainability of ai systems: ethical guidelines in practice","beyond bias and discrimination: redefining the ai ethics principle of fairness in healthcare machine-learning algorithms","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","giovanola b,tiribelli s","ai systems,ethical guidelines,explainability,quality requirements,transparency","bias,discrimination,ethics of algorithms,fairness,healthcare machine-learning algorithms,respect","0.24064903846154","0"
"transparency and explainability of ai systems: ethical guidelines in practice","who is the fairest of them all? public attitudes and expectations regarding automated decision-making","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","helberger n,araujo t,de vreese ch","ai systems,ethical guidelines,explainability,quality requirements,transparency","algorithmic fairness,automated-decision making,public perceptions","0.24869822485207","0"
"transparency and explainability of ai systems: ethical guidelines in practice","principal fairness for human and algorithmic decision-making","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","imai k,jiang z","ai systems,ethical guidelines,explainability,quality requirements,transparency","algorithmic fairness,causal inference,potential outcomes,principal stratification","0.26133903133903","1"
"transparency and explainability of ai systems: ethical guidelines in practice","introduction to the special issue on ai fairness, trust, and ethics","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","jr lp,bansal g,melville n,...","ai systems,ethical guidelines,explainability,quality requirements,transparency","ai bias,ai fairness,ai trust,artificial intelligence","0.29173570019724","0"
"transparency and explainability of ai systems: ethical guidelines in practice","exploring bias and fairness in artificial intelligence and machine learning algorithms","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","khakurel ub,abdelmoumin g,bajracharya a,rawat db","ai systems,ethical guidelines,explainability,quality requirements,transparency","artificial intelligence,detection and tracking algorithms,machine learning,performance modeling,systems modeling","0.26539148351648","1"
"transparency and explainability of ai systems: ethical guidelines in practice","ai & intellectual property: towards an articulated public domain","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","kop m","ai systems,ethical guidelines,explainability,quality requirements,transparency","founder of musicajuridica and strategic in- tellectual property lawyer at alrecht in amsterdam,james grimmelmann (cornell law school),joao pedro quintais (ivir) and suzan slijpen (slijpen legal),for their valuable contributions,insight and comments","0.24719189412738","0"
"transparency and explainability of ai systems: ethical guidelines in practice","a survey on datasets for fairness-aware machine learning","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","le quy t,roy a,iosifidis v,zhang w,ntoutsi e","ai systems,ethical guidelines,explainability,quality requirements,transparency","aware machine learning,benchmark datasets,bias,datasets for fairness,discrimination,fairness","0.23719063545151","0"
"transparency and explainability of ai systems: ethical guidelines in practice","revealing factors influencing students' perceived fairness: a case with a predictive system for math learning","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","li c,xing w","ai systems,ethical guidelines,explainability,quality requirements,transparency","fair ai,human-centered computing,math learning,perceived fairness","0.23007889546351","0"
"transparency and explainability of ai systems: ethical guidelines in practice","trustworthy ai: from principles to practices","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","libo,qipeng,liubo,dishuai,liujingen,peijiquan,yijinfeng,zhoubowen","ai systems,ethical guidelines,explainability,quality requirements,transparency","trustworthy ai,accountability,explainability,fairness,generalization,privacy protection,reproducibility,robustness,transparency","0.23063799717343","0"
"transparency and explainability of ai systems: ethical guidelines in practice","assessing the fairness of ai systems: ai practitioners' processes, challenges, and needs for support","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","madaio m,egede l,subramonyam h,wortman vaughan j,wallach h","ai systems,ethical guidelines,explainability,quality requirements,transparency","ai,fairness,machine learning,software development practices","0.29150803998262","0"
"transparency and explainability of ai systems: ethical guidelines in practice","ai4people - on good ai governance: 14 priority actions, a s.m.a.r.t. model of governance, and a regulatory toolbox","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","pagallo u,aurucci p,casanovas p,chatila r,chazerand p,dignum v,luetge c,madelin r,schafer b,valcke p","ai systems,ethical guidelines,explainability,quality requirements,transparency","ai4people - on good ai governance: 14 priority actions,artificial intelligence,burkhard schafer,christoph luetge,governance,paola aurucci,patrice chazerand,peggy valcke,pompeu casanovas,raja chatila,regulation,robert madelin,ssrn,ugo pagallo,virginia dignum,a s.m.a.r.t. model of governance,and a regulatory toolbox","0.21114977614978","0"
"transparency and explainability of ai systems: ethical guidelines in practice","artificial intelligence in human resources management: challenges and a path forward","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","tambe p,cappelli p,yakubovich v","ai systems,ethical guidelines,explainability,quality requirements,transparency","data analysis,decision-making tools,hiring and recruitment,human capital,human resource ethics,information systems","0.24963337831759","0"
"transparency and explainability of ai systems: ethical guidelines in practice","artificial intelligence and the public sectorâ€”applications and challenges","balasubramaniam n,kauppinen m,hiekkanen k,kujala s","wirtz bw,weyerer jc,geyer c","ai systems,ethical guidelines,explainability,quality requirements,transparency","ai applications,ai challenges,artificial intelligence,public sector","0.253199387677","1"
